Locus.Tag,Gene.Name,Protein.Code,Protein.Product
NCAV_1147,NCAV_1147,A0A2K5ARP0,Nucleotide-binding protein related to universal stress protein UspA
NCAV_1669,bluB,A0A2K5AT56,"5,6-dimethylbenzimidazole synthase (EC 1.13.11.79)"
NCAV_0931,NCAV_0931,A0A2K5AR33,Uncharacterized protein
NCAV_1162,NCAV_1162,A0A2K5ARU7,Uncharacterized protein
NCAV_1074,map,A0A2K5ARG8,Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)
NCAV_1363,cheD,A0A2K5ASE1,Probable chemoreceptor glutamine deamidase CheD (EC 3.5.1.44)
NCAV_1057,NCAV_1057,A0A2K5ARL2,Uncharacterized protein
NCAV_0144,dapL,A0A2K5ANX7,L-threonine-O-3-phosphate decarboxylase (EC 4.1.1.81)
NCAV_1386,NCAV_1386,A0A2K5ASD3,Uncharacterized protein
NCAV_1709,NCAV_1709,A0A2K5AT94,Phosphate transport system permease protein PstA
NCAV_0834,NCAV_0834,A0A2K5AQS9,Uncharacterized protein
NCAV_0400,NCAV_0400,A0A2K5APN0,Cyclophil_like domain-containing protein
NCAV_1607,accC,A0A2K5ASZ3,"Acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylation subunit (EC 6.3.4.14) (EC 6.4.1.2)"
NCAV_0143,asd,A0A2K5ANX6,Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)
NCAV_0343,leuC,A0A2K5APJ3,3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)
NCAV_0358,rpl37ae,A0A2K5API2,50S ribosomal protein L37Ae
NCAV_0969,NCAV_0969,A0A2K5AR71,Uncharacterized protein
NCAV_1284,NCAV_1284,A0A2K5AS25,ABC2_membrane domain-containing protein
NCAV_0980,NCAV_0980,A0A2K5ARA6,Putative Arsenate reductase and related protein
NCAV_1294,argH,A0A2K5AS42,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)
NCAV_1079,NCAV_1079,A0A2K5ARI2,tRNA-binding protein
NCAV_1121,top6A,A0A2K5ARM6,Type 2 DNA topoisomerase 6 subunit A (EC 5.6.2.2) (Type II DNA topoisomerase VI subunit A)
NCAV_1554,rpl19e,A0A2K5ASX4,50S ribosomal protein L19e
NCAV_0206,srp,A0A2K5AP40,Signal recognition particle 19 kDa protein (SRP19)
NCAV_0472,NCAV_0472,A0A2K5APU6,Putative digeranylgeranylglycerophospholipid reductase
NCAV_1291,NCAV_1291,A0A2K5AS26,TRUD domain-containing protein
NCAV_1058,NCAV_1058,A0A2K5ARJ0,Uncharacterized protein
NCAV_0181,hisB,A0A2K5AP12,Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)
NCAV_1471,NCAV_1471,A0A2K5ASN5,Putative 4-hydroxybenzoate polyprenyltransferase-like prenyltransferase (EC 2.5.1.-)
NCAV_0538,NCAV_0538,A0A2K5AQ01,"Regulatory protein, ArsR"
NCAV_0958,NCAV_0958,A0A2K5AR77,Uncharacterized protein
NCAV_1133,NCAV_1133,A0A2K5ARN5,Acylphosphatase (EC 3.6.1.7)
NCAV_1511,argD,A0A2K5ASS8,Acetylornithine aminotransferase (EC 2.6.1.11)
NCAV_0901,NCAV_0901,A0A2K5AQZ9,Uncharacterized protein
NCAV_1068,NCAV_1068,A0A2K5ARK1,Uncharacterized protein
NCAV_1519,gds,A0A2K5ASR0,Geranylgeranyl pyrophosphate synthase (EC 2.5.1.29)
NCAV_1461,NCAV_1461,A0A2K5ASM4,Putative pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Pterin carbinolamine dehydratase) (PCD)
NCAV_0932,NCAV_0932,A0A2K5AR85,Uncharacterized protein
NCAV_0718,NCAV_0718,A0A2K5AQM1,Uncharacterized protein
NCAV_0805,NCAV_0805,A0A2K5AQU4,"SNF7-domain-containing protein, cdv-B like"
NCAV_0937,NCAV_0937,A0A2K5AR83,Uncharacterized protein
NCAV_0650,NCAV_0650,A0A2K5AQA2,Uncharacterized protein
NCAV_0041,NCAV_0041,A0A2K5ANM0,Small heat shock protein HSP20
NCAV_0915,NCAV_0915,A0A2K5AR22,Uncharacterized protein
NCAV_0676,NCAV_0676,A0A2K5AQH3,Uncharacterized protein
NCAV_1570,NCAV_1570,A0A2K5ASX6,Bile Acid-Sodium symporter family protein
NCAV_1680,NCAV_1680,A0A2K5AT76,Putative kynurenine formamidase (EC 3.5.1.9)
NCAV_0553,NCAV_0553,A0A2K5AQ18,Protein archease
NCAV_1675,NCAV_1675,A0A2K5AT65,Uncharacterized protein
NCAV_1484,NCAV_1484,A0A2K5ASM6,Uncharacterized protein
NCAV_1003,NCAV_1003,A0A2K5ARA0,Urea transporter SSS family fused to histidine kinase domain (EC 2.7.13.3)
NCAV_0201,adh,A0A2K5AP32,NAD-dependent alcohol dehydrogenase (EC 1.1.1.1)
NCAV_0504,ef1b,A0A2K5AQ08,Elongation factor 1-beta (EF-1-beta) (aEF-1beta)
NCAV_0570,NCAV_0570,A0A2K5AQ34,Oxidoreductase protein family
NCAV_0602,NCAV_0602,A0A2K5AQ90,Uncharacterized protein
NCAV_0860,NCAV_0860,A0A2K5AQY5,UPF0215 protein NCAV_0860
NCAV_0499,NCAV_0499,A0A2K5APX7,Uncharacterized protein
NCAV_1063,NCAV_1063,A0A2K5ARF6,Uncharacterized protein
NCAV_0255,NCAV_0255,A0A2K5AP92,"2:oxoacid-ferredoxin oxidoreductase, beta subunit (EC 1.2.7.3)"
NCAV_0557,infB,A0A2K5AQ32,Probable translation initiation factor IF-2
NCAV_1626,NCAV_1626,A0A2K5AT44,Uncharacterized protein
NCAV_1317,NCAV_1317,A0A2K5AS63,Putative snRNP Sm-like protein
NCAV_0150,rpl44e,A0A2K5ANY2,50S ribosomal protein L44e
NCAV_1252,lysX,A0A2K5AS27,Alpha-aminoadipate--LysW ligase LysX (EC 6.3.2.43)
NCAV_1387,NCAV_1387,A0A2K5ASD5,Uncharacterized protein
NCAV_1351,NCAV_1351,A0A2K5ASA3,Uncharacterized protein
NCAV_1802,NCAV_1802,A0A2K5ATJ8,Putative lyase
NCAV_0291,NCAV_0291,A0A2K5APC3,Uncharacterized protein
NCAV_0874,taw,A0A2K5AQX6,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase (EC 4.1.3.44) (tRNA wyosine derivatives biosynthesis protein Taw1)
NCAV_0836,psmA,A0A2K5AQX7,Proteasome subunit alpha (EC 3.4.25.1)
NCAV_1112,NCAV_1112,A0A2K5ARR1,Uncharacterized protein
NCAV_0379,NCAV_0379,A0A2K5APK8,DNA topoisomerase I (EC 5.99.1.2)
NCAV_1329,NCAV_1329,A0A2K5AS83,Uncharacterized protein
NCAV_1668,NCAV_1668,A0A2K5AT69,Putative Amidohydrolase
NCAV_1679,NCAV_1679,A0A2K5AT72,Uncharacterized protein
NCAV_0707,NCAV_0707,A0A2K5AQE8,Uncharacterized protein
NCAV_0428,NCAV_0428,A0A2K5APP8,zf-TFIIB domain-containing protein
NCAV_0405,NCAV_0405,A0A2K5APR7,Uncharacterized protein
NCAV_0432,MPST,A0A2K5APR1,"Rhodanese domain-containing protein (TST, MPST, sseA) (EC 2.8.1.1)"
NCAV_0956,NCAV_0956,A0A2K5AR52,Cupin 2 conserved barrel domain protein
NCAV_0528,NCAV_0528,A0A2K5APZ4,Uncharacterized protein
NCAV_1724,glnB,A0A2K5ATC3,Nitrogen regulatory protein P-II
NCAV_1259,NCAV_1259,A0A2K5ARZ8,DrsE domain-containing protein
NCAV_1276,NCAV_1276,A0A2K5AS20,Putative radical SAM domain protein
NCAV_0521,NCAV_0521,A0A2K5AQ03,Uncharacterized protein
NCAV_0808,NCAV_0808,A0A2K5AQU5,Uncharacterized protein
NCAV_1468,NCAV_1468,A0A2K5ASP5,SIS domain-containing protein
NCAV_0981,cysS,A0A2K5AR84,Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)
NCAV_1218,NCAV_1218,A0A2K5ARX8,Uncharacterized protein
NCAV_0272,nuoK,A0A2K5APD1,NADH-quinone oxidoreductase subunit K (EC 1.6.5.11)
NCAV_0289,NCAV_0289,A0A2K5APB2,DNA protection during starvation protein (EC 1.16.-.-)
NCAV_0215,NCAV_0215,A0A2K5AP42,Voltage-gated potassium channel-subunit family protein
NCAV_0456,NCAV_0456,A0A2K5APS9,Uncharacterized protein
NCAV_0982,NCAV_0982,A0A2K5ARD5,Uncharacterized protein
NCAV_1741,NCAV_1741,A0A2K5ATG6,Uncharacterized protein
NCAV_1316,NCAV_1316,A0A2K5AS68,Uncharacterized protein
NCAV_1487,erpA,A0A2K5ASN4,Putative iron-sulfur cluster insertion protein ErpA
NCAV_1244,NCAV_1244,A0A2K5ARZ0,Uncharacterized protein
NCAV_0488,NCAV_0488,A0A2K5APV6,Uncharacterized protein
NCAV_0630,NCAV_0630,A0A2K5AQ84,Uncharacterized protein
NCAV_1027,NCAV_1027,A0A2K5ARH9,Uncharacterized protein
NCAV_1469,NCAV_1469,A0A2K5ASL3,NTP_transferase domain-containing protein
NCAV_0080,NCAV_0080,A0A2K5ANR2,Dehydrogenase
NCAV_0733,alx,A0A2K5AQM3,Tellurium ion resistance family protein
NCAV_0182,NCAV_0182,A0A2K5AP16,Putative haloacid dehalogenase domain protein hydrolase
NCAV_0740,sucD,A0A2K5AQJ3,Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)
NCAV_1662,queE,A0A2K5AT61,7-carboxy-7-deazaguanine synthase (CDG synthase) (EC 4.3.99.3) (Archaeosine biosynthesis protein QueE)
NCAV_1713,NCAV_1713,A0A2K5AT98,Uncharacterized protein
NCAV_0985,NCAV_0985,A0A2K5AR86,FAD dependent oxidoreductase
NCAV_0246,NCAV_0246,A0A2K5AP70,Uncharacterized protein
NCAV_0696,NCAV_0696,A0A2K5AQJ0,Uncharacterized protein
NCAV_1246,NCAV_1246,A0A2K5ARZ1,Uncharacterized protein
NCAV_0713,NCAV_0713,A0A2K5AQK5,Putative adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase)
NCAV_1347,NCAV_1347,A0A2K5AS92,Putative prepilin peptidase
NCAV_0490,amoC,A0A2K5APV8,"Ammonia monooxygenase/methane monooxygenase, subunit C"
NCAV_0706,NCAV_0706,A0A2K5AQJ8,Uncharacterized protein
NCAV_1474,NCAV_1474,A0A2K5ASL2,Uncharacterized protein
NCAV_0155,NCAV_0155,A0A2K5ANZ1,Uncharacterized protein
NCAV_0068,NCAV_0068,A0A2K5ANP6,Uncharacterized protein
NCAV_1362,cheC,A0A2K5ASA0,Putative chemotaxis protein cheC
NCAV_1315,NCAV_1315,A0A2K5AS60,Uncharacterized protein
NCAV_1183,NCAV_1183,A0A2K5ARR7,Uncharacterized protein
NCAV_1521,NCAV_1521,A0A2K5ASU4,HTH_45 domain-containing protein
NCAV_0088,NCAV_0088,A0A2K5ANR6,Putative carbon-nitrogen hydrolase
NCAV_0639,NCAV_0639,A0A2K5AQC4,Nicotinamide-nucleotide adenylyltransferase (EC 2.7.7.1) (NAD(+) diphosphorylase) (NAD(+) pyrophosphorylase) (NMN adenylyltransferase)
NCAV_1402,rpl39e,A0A2K5ASD6,50S ribosomal protein L39e
NCAV_1039,NCAV_1039,A0A2K5ARE2,Uncharacterized protein
NCAV_0147,cobS,A0A2K5ANY7,Adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26) (Cobalamin synthase) (Cobalamin-5'-phosphate synthase)
NCAV_0898,NCAV_0898,A0A2K5AR12,Uncharacterized protein
NCAV_0939,NCAV_0939,A0A2K5AR39,Putative TatD-like deoxyribonuclease
NCAV_0197,NCAV_0197,A0A2K5AP43,Putative Zn-dependent protease-like protein
NCAV_0228,nifU,A0A2K5AP60,NifU-like protein
NCAV_0629,NCAV_0629,A0A2K5AQC2,"Methylmalonyl-CoA mutase, small subunit, C-terminus (EC 5.4.99.2)"
NCAV_0183,hisC,A0A2K5AP19,Histidinol-phosphate aminotransferase (EC 2.6.1.9)
NCAV_0357,NCAV_0357,A0A2K5APH3,Uncharacterized protein
NCAV_1438,NCAV_1438,A0A2K5ASM1,Putative nuclease
NCAV_1037,NCAV_1037,A0A2K5ARJ1,Uncharacterized protein
NCAV_0071,NCAV_0071,A0A2K5ANQ3,Archaeal/vacuolar-type H+-ATPase subunit C (EC 3.6.3.14)
NCAV_0235,NCAV_0235,A0A2K5AP61,Putative Transcriptional regulator TrmB
NCAV_0322,NCAV_0322,A0A2K5APF4,RNA-binding protein
NCAV_0476,icd,A0A2K5APY7,Putative isocitrate/isopropylmalate dehydrogenase (EC 1.1.1.-) (EC 1.1.1.41)
NCAV_0654,carB,A0A2K5AQE2,Carbamoyl-phosphate synthetase ammonia chain
NCAV_0923,NCAV_0923,A0A2K5AR26,Uncharacterized protein
NCAV_1280,NCAV_1280,A0A2K5AS41,"Putative bifunctional nuclease, with DNase and RNase activity"
NCAV_1179,NCAV_1179,A0A2K5ARR8,Adenylate cyclase
NCAV_0277,NCAV_0277,A0A2K5APB1,Uncharacterized protein
NCAV_0916,rps17e,A0A2K5AR17,30S ribosomal protein S17e
NCAV_0249,NCAV_0249,A0A2K5AP81,Uncharacterized protein
NCAV_0862,NCAV_0862,A0A2K5AR14,Uncharacterized protein
NCAV_1275,NCAV_1275,A0A2K5AS24,ABC transporter ATP-binding protein
NCAV_0429,thyX,A0A2K5APP9,Putative thymidylate synthase ThyX
NCAV_0925,NCAV_0925,A0A2K5AR30,Fe-S cluster protector protein
NCAV_0031,NCAV_0031,A0A2K5ANL1,Putative peptidase M50
NCAV_1457,NCAV_1457,A0A2K5ASK1,Uncharacterized protein
NCAV_1348,NCAV_1348,A0A2K5ASD4,Uncharacterized protein
NCAV_0407,NCAV_0407,A0A2K5APM4,TPR repeat protein
NCAV_1051,NCAV_1051,A0A2K5ARG1,Uncharacterized protein
NCAV_1215,NCAV_1215,A0A2K5ARV4,Uncharacterized protein
NCAV_0093,NCAV_0093,A0A2K5ANT3,Swiveling domain associated with predicted aconitase X
NCAV_0339,eif,A0A2K5APG6,Translation initiation factor 6 (aIF-6)
NCAV_0689,NCAV_0689,A0A2K5AQF5,Uncharacterized protein
NCAV_0370,NCAV_0370,A0A2K5APJ7,"Protocatechuate 3,4-dioxygenase beta subunit"
NCAV_1225,NCAV_1225,A0A2K5ARW4,C2H2-type domain-containing protein
NCAV_0947,NCAV_0947,A0A2K5AR96,Uncharacterized protein
NCAV_1596,putB,A0A2K5ASY0,Proline dehydrogenase (EC 1.5.5.2)
NCAV_0494,NCAV_0494,A0A2K5AQ02,Uncharacterized protein
NCAV_0968,purN,A0A2K5AR90,Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)
NCAV_0135,NCAV_0135,A0A2K5ANX3,Uncharacterized protein
NCAV_1265,NCAV_1265,A0A2K5AS16,Putative phage shock protein A
NCAV_0043,dnaK,A0A2K5ANM8,Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)
NCAV_0883,NCAV_0883,A0A2K5AQZ1,HTH_45 domain-containing protein
NCAV_1412,NCAV_1412,A0A2K5ASE5,Uncharacterized protein
NCAV_0489,amoB,A0A2I7UGI0,Ammonia monooxygenase subunit B (Putative archaeal ammonia monooxygenase subunit B)
NCAV_0492,amoA,A0A2I7UGI1,Ammonia monooxygenase subunit A
NCAV_1221,NCAV_1221,A0A2K5ARV5,Uncharacterized protein
NCAV_0764,NCAV_0764,A0A2K5AQP1,Aminodeoxychorismate/anthranilate synthase component II
NCAV_0725,NCAV_0725,A0A2K5AQG9,"Manganese/Zinc/Iron Chelate Uptake Transporter (MZT) Family, permease component"
NCAV_0497,NCAV_0497,A0A2K5APW8,Uncharacterized protein
NCAV_1115,eif2b,A0A2K5ARK6,Translation initiation factor 2 subunit beta (aIF2-beta) (eIF-2-beta)
NCAV_1220,NCAV_1220,A0A2K5ARX4,Putative 30S ribosomal protein S24e
NCAV_1266,NCAV_1266,A0A2K5AS09,Uncharacterized protein
NCAV_0965,NCAV_0965,A0A2K5AR64,Metallophos_2 domain-containing protein
NCAV_0245,truB,A0A2K5AP78,Probable tRNA pseudouridine synthase B (EC 5.4.99.25) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)
NCAV_0077,NCAV_0077,A0A2K5ANR4,Vitamin B12-dependent ribonucleotide reductase (EC 1.17.4.1)
NCAV_1014,NCAV_1014,A0A2K5ARA1,Uncharacterized protein
NCAV_0818,rps14p,A0A2K5AQS0,30S ribosomal protein S14 type Z
NCAV_0120,NCAV_0120,A0A2K5ANU9,Uncharacterized protein
NCAV_1678,rps19e,A0A2K5AT81,30S ribosomal protein S19e
NCAV_0509,NCAV_0509,A0A2K5APY5,MFS transporter
NCAV_0769,NCAV_0769,A0A2K5AQN1,Uncharacterized protein
NCAV_0393,cysM,A0A2K5APQ0,Cysteine synthase (EC 2.5.1.47)
NCAV_0146,cobD,A0A2K5ANX5,Probable cobalamin biosynthesis protein CobD
NCAV_1558,NCAV_1558,A0A2K5ASV2,PfkB domain-containing protein
NCAV_1755,NCAV_1755,A0A2K5ATE0,Phosphoribosylaminoimidazolesuccinocarboxamide synthase (EC 6.3.2.6)
NCAV_0737,NCAV_0737,A0A2K5AQH7,B-block_TFIIIC domain-containing protein
NCAV_1467,NCAV_1467,A0A2K5ASL6,Uncharacterized protein
NCAV_1411,NCAV_1411,A0A2K5ASG6,Uncharacterized protein
NCAV_0242,adkA,A0A2K5AP98,Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase)
NCAV_0081,NCAV_0081,A0A2K5ANR3,Uncharacterized protein
NCAV_1278,NCAV_1278,A0A2K5AS39,Uncharacterized protein
NCAV_1599,NCAV_1599,A0A2K5ASZ0,Uncharacterized protein
NCAV_1217,NCAV_1217,A0A2K5AS10,Uncharacterized protein
NCAV_0005,NCAV_0005,A0A2K5ANI6,Uncharacterized protein
NCAV_1661,queC,A0A2K5AT84,ExsB family protein (QueC)
NCAV_0191,petB,A0A2K5AP22,Putative cytochrome b/b6
NCAV_0525,sdhB,A0A2K5APY3,FeS-center protein of succinate dehydrogenase/fumarate reductase (EC 1.-.-.-)
NCAV_1627,NCAV_1627,A0A2K5AT18,Uncharacterized ABC transporter ATP-binding protein TM_0352
NCAV_0471,NCAV_0471,A0A2K5APW0,Geranylgeranyl diphosphate synthase (EC 2.5.1.29)
NCAV_1005,spo0C,A0A2K5ARA4,Chromosome-partitioning protein Spo0J
NCAV_0704,NCAV_0704,A0A2K5AQI4,Uncharacterized protein
NCAV_1637,NCAV_1637,A0A2K5AT29,Zn-dependent hydrolase
NCAV_0990,NCAV_0990,A0A2K5ARB6,Putative nickel/cobalt transporter
NCAV_0902,NCAV_0902,A0A2K5AR54,Uncharacterized protein
NCAV_0103,NCAV_0103,A0A2K5ANU3,Protein NCAV_0103
NCAV_0418,NCAV_0418,A0A2K5APP0,H/ACA RNA-protein complex component Cbf5p
NCAV_1279,fusA,A0A2K5AS18,Elongation factor 2
NCAV_1285,NCAV_1285,A0A2K5AS36,ATPase component
NCAV_0271,NCAV_0271,A0A2K5AP86,Uncharacterized protein
NCAV_1095,NCAV_1095,A0A2K5ARI4,Uncharacterized protein
NCAV_1753,NCAV_1753,A0A2K5ATE1,Uncharacterized protein
NCAV_0766,NCAV_0766,A0A2K5AQQ9,Putative hemerythrin HHE cation binding domain protein
NCAV_1237,NCAV_1237,A0A2K5AS23,SnoaL-like domain-containing protein
NCAV_0544,NCAV_0544,A0A2K5AQ45,Putative Nickel-dependent hydrogenase delta subunit
NCAV_0869,hel308,A0A2K5AQW4,ATP-dependent DNA helicase Hel308 (EC 3.6.4.12)
NCAV_0536,rtcB,A0A2K5AQ49,RNA-splicing ligase RtcB (EC 6.5.1.-)
NCAV_0973,NCAV_0973,A0A2K5AR70,Uncharacterized protein
NCAV_0657,NCAV_0657,A0A2K5AQC9,DNA-binding protein
NCAV_0491,NCAV_0491,A0A2K5APX5,Uncharacterized protein
NCAV_0444,NCAV_0444,A0A2K5APQ1,Uncharacterized protein
NCAV_0301,NCAV_0301,A0A2K5APD3,Uncharacterized protein
NCAV_1289,NCAV_1289,A0A2K5AS30,Uncharacterized protein
NCAV_0459,NCAV_0459,A0A2K5APT0,Uncharacterized protein
NCAV_1188,NCAV_1188,A0A2K5ARV1,Uncharacterized protein
NCAV_1703,NCAV_1703,A0A2K5AT90,Uncharacterized protein
NCAV_0690,NCAV_0690,A0A2K5AQE0,Uncharacterized protein
NCAV_0745,NCAV_0745,A0A2K5AQI7,tRNA_SAD domain-containing protein
NCAV_0251,NCAV_0251,A0A2K5AP71,Uncharacterized protein
NCAV_1167,NCAV_1167,A0A2K5ARV7,Histidine triad protein
NCAV_1397,mut,A0A2K5ASE4,"Methylmalonyl-CoA mutase, large subunit (EC 5.4.99.2)"
NCAV_0374,NCAV_0374,A0A2K5API5,Uncharacterized protein
NCAV_0999,ureC,A0A2K5ARA2,Urea amidohydrolase (EC 3.5.1.5) (Urease)
NCAV_0003,NCAV_0003,A0A2K5ANH9,Uncharacterized protein
NCAV_0701,NCAV_0701,A0A2K5AQF1,Uncharacterized protein
NCAV_0664,NCAV_0664,A0A2K5AQG3,Short-chain specific acyl-CoA dehydrogenase
NCAV_1784,NCAV_1784,A0A2K5ATI2,Uncharacterized protein
NCAV_0625,NCAV_0625,A0A2K5AQB6,Uncharacterized protein
NCAV_1725,NCAV_1725,A0A2K5ATB1,VOC domain-containing protein
NCAV_0587,NCAV_0587,A0A2K5AQ65,"Putative Glycoside hydrolase, family 5"
NCAV_1769,NCAV_1769,A0A2K5ATG2,Uncharacterized protein
NCAV_0604,NCAV_0604,A0A2K5AQA3,Transposase
NCAV_1241,NCAV_1241,A0A2K5ARX5,Uncharacterized protein
NCAV_0609,NCAV_0609,A0A2K5AQ82,Uncharacterized protein
NCAV_0597,NCAV_0597,A0A2K5AQ79,Polysacc_synt_C domain-containing protein
NCAV_0563,glmM,A0A2K5AQ27,Phosphoglucosamine mutase (EC 5.4.2.-)
NCAV_1189,dys,A0A2K5ART4,Putative deoxyhypusine synthase (EC 2.5.1.46)
NCAV_0787,NCAV_0787,A0A2K5AQN2,Putative Holliday junction resolvase
NCAV_0157,NCAV_0157,A0A2K5ANZ9,Putative dihydropteroate synthase
NCAV_0831,rpl4p,A0A2K5AQY1,50S ribosomal protein L4
NCAV_1796,NCAV_1796,A0A2K5ATK9,Uncharacterized protein
NCAV_0132,nac,A0A2K5ANW6,Nascent polypeptide-associated complex protein
NCAV_1349,NCAV_1349,A0A2K5ASA1,Uncharacterized protein
NCAV_1754,NCAV_1754,A0A2K5ATF3,Uncharacterized protein
NCAV_0724,NCAV_0724,A0A2K5AQK6,"Manganese/Zinc/Iron Chelate Uptake Transporter (MZT) Family, ATPase"
NCAV_1690,tyrS,A0A2K5AT85,Tyrosine--tRNA ligase (EC 6.1.1.1)
NCAV_0566,apt,A0A2K5AQ78,Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)
NCAV_0938,NCAV_0938,A0A2K5AR53,LAM_G_DOMAIN domain-containing protein
NCAV_0419,hom,A0A2K5APP5,Homoserine dehydrogenase (HDH) (EC 1.1.1.3)
NCAV_0141,ctaB2,A0A2K5ANX2,Protoheme IX farnesyltransferase (EC 2.5.1.141) (Heme B farnesyltransferase) (Heme O synthase)
NCAV_0513,phbC,A0A2K5APY0,Poly(R)-hydroxyalkanoic acid synthase (EC 2.3.1.-)
NCAV_1350,NCAV_1350,A0A2K5AS88,Putative ATPase-binding protein
NCAV_1793,glyA,A0A2K5ATH6,Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.-)
NCAV_0004,NCAV_0004,A0A2K5ANJ1,Putative cobalt-precorrin-7 C(5)-methyltransferase (EC 2.1.1.289)
NCAV_0950,NCAV_0950,A0A2K5AR76,Phosphoglucomutase/phosphomannomutase subunit alpha/beta
NCAV_0962,gltA,A0A2K5ARB3,Citrate synthase (EC 2.3.3.16)
NCAV_0741,sucC,A0A2K5AQJ1,Succinyl-CoA ligase (ADP-forming) beta subunit (EC 6.2.1.5)
NCAV_1742,NCAV_1742,A0A2K5ATE3,Uncharacterized protein
NCAV_1502,NCAV_1502,A0A2K5ASP6,Uncharacterized protein
NCAV_1462,pheT,A0A2K5ASJ9,Phenylalanyl-tRNA synthetase beta subunit (EC 6.1.1.20)
NCAV_0621,NCAV_0621,A0A2K5AQ93,Uncharacterized protein
NCAV_1452,valS,A0A2K5ASI6,Valyl-tRNA synthetase (EC 6.1.1.9)
NCAV_1084,NCAV_1084,A0A2K5ARI3,Putative short chain dehydrogenase
NCAV_1146,NCAV_1146,A0A2K5ARP1,Inosine monophosphate dehydrogenase
NCAV_1594,NCAV_1594,A0A2K5ASY1,Metallophos domain-containing protein
NCAV_0511,uppS,A0A2K5APZ6,"Tritrans,polycis-undecaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific) (EC 2.5.1.89) (Undecaprenyl diphosphate synthase) (UDS) (Undecaprenyl pyrophosphate synthase) (UPP synthase)"
NCAV_1538,NCAV_1538,A0A2K5AST3,Uncharacterized protein
NCAV_1609,NCAV_1609,A0A2K5AT01,Peroxiredoxin
NCAV_0209,sufC,A0A2K5AP73,"Component of SufBCD complex, ATP-binding component of ABC superfamily"
NCAV_0549,hypF,A0A2K5AQ25,Carbamoyltransferase (EC 6.2.-.-)
NCAV_0941,NCAV_0941,A0A2K5AR44,Uncharacterized protein
NCAV_0929,NCAV_0929,A0A2K5AR29,Putative Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)
NCAV_0594,NCAV_0594,A0A2K5AQ96,Putative Type I phosphodiesterase/nucleotide pyrophosphatase
NCAV_0248,NCAV_0248,A0A2K5AP80,Tetrahydromethanopterin S-methyltransferase subunit A
NCAV_0875,NCAV_0875,A0A2K5AQW7,Uncharacterized protein
NCAV_1106,NCAV_1106,A0A2K5ARK7,Uncharacterized protein
NCAV_1102,NCAV_1102,A0A2K5ARP8,Uncharacterized protein
NCAV_0354,xpf,A0A2K5APG9,Putative DNA repair nuclease XPF
NCAV_0138,NCAV_0138,A0A2K5ANX1,Uncharacterized protein
NCAV_0730,NCAV_0730,A0A2K5AQI2,"Putative pre-mRNA processing ribonucleoprotein, snoRNA-binding domain protein"
NCAV_0448,NCAV_0448,A0A2K5APS2,Pyr_redox_2 domain-containing protein
NCAV_1229,NCAV_1229,A0A2K5ARX2,Putative ABC transporter permease
NCAV_1682,NCAV_1682,A0A2K5AT86,Dual specificity protein phosphatase
NCAV_0168,NCAV_0168,A0A2K5ANZ8,Uncharacterized protein
NCAV_0608,NCAV_0608,A0A2K5AQ71,Uncharacterized protein
NCAV_0796,rpoP,A0A2K5AQT4,"DNA-directed RNA polymerase, subunit P"
NCAV_0038,NCAV_0038,A0A2K5ANL4,NT5C domain containing protein
NCAV_0192,NCAV_0192,A0A2K5AP24,Transposase
NCAV_0368,NCAV_0368,A0A2K5APJ2,Putative Helix-turn-helix domain
NCAV_0685,NCAV_0685,A0A2K5AQD8,L-fuculose phosphate aldolase (EC 4.1.2.17) (L-fuculose-1-phosphate aldolase)
NCAV_0195,NCAV_0195,A0A2K5AP29,Putative blue (Type 1) copper domain protein
NCAV_1247,cimA,A0A2K5AS34,(R)-citramalate synthase (EC 2.3.1.182)
NCAV_0612,NCAV_0612,A0A2K5AQA5,Putative Sigma 54 interacting domain protein
